n,cos,sin
243,0.649075,-0.75688
244,0.721211,-0.688456
245,0.786171,-0.613192
246,0.843311,-0.531834
247,0.892062,-0.445193
248,0.931941,-0.354131
249,0.962552,-0.259554
250,0.983591,-0.162401
251,0.99485,-0.0636397
252,0.996217,0.0357485
253,0.98768,0.134775
254,0.969325,0.232456
255,0.941334,0.32782
256,0.903987,0.41992
257,0.857656,0.50784
258,0.802802,0.590705
259,0.739971,0.667694
260,0.669789,0.738041
261,0.592953,0.801048
262,0.510228,0.856088
263,0.422436,0.902616
264,0.330451,0.940169
265,0.235187,0.968375
266,0.137592,0.986955
267,0.0386353,0.995724
268,-0.0606992,0.994596
269,-0.159424,0.983584
270,-0.256558,0.962797
271,-0.351137,0.932443
272,-0.44222,0.892824
273,-0.528902,0.844335
274,-0.610323,0.787459
275,-0.685673,0.722761
276,-0.754205,0.650885
277,-0.815238,0.572546
278,-0.868167,0.488523
279,-0.912465,0.399651
280,-0.947694,0.306814
281,-0.973504,0.210934
282,-0.98964,0.112965
283,-0.995942,0.0138794
284,-0.992348,-0.0853372
285,-0.978895,-0.183699
286,-0.955717,-0.28023
287,-0.923046,-0.37397
288,-0.881207,-0.463988
289,-0.830616,-0.549391
290,-0.771777,-0.629331
291,-0.705275,-0.703013
292,-0.631772,-0.769706
293,-0.551997,-0.828749
294,-0.466745,-0.879555
295,-0.376862,-0.921621
296,-0.283242,-0.954529
297,-0.186814,-0.977954
298,-0.0885381,-0.991663
299,0.0106108,-0.995522
300,0.109647,-0.989492
301,0.207588,-0.973635
302,0.30346,-0.948109
303,0.396312,-0.913168
304,0.485221,-0.869161
305,0.569304,-0.816524
306,0.647729,-0.755783
307,0.719714,-0.68754
308,0.784548,-0.612473
309,0.841586,-0.53133
310,0.890262,-0.444917
311,0.930095,-0.354091
312,0.960688,-0.259756
313,0.98174,-0.162848
314,0.993043,-0.0643306
315,0.994484,0.0348189
316,0.98605,0.133615
317,0.967827,0.231078
318,0.939996,0.326239
319,0.902833,0.418155
320,0.85671,0.505911
321,0.802085,0.588639
322,0.7395,0.665516
323,0.669579,0.735781
324,0.593015,0.798736
325,0.51057,0.853757
326,0.423062,0.900298
327,0.331361,0.937899
328,0.236378,0.966186
329,0.139055,0.98488
330,0.0403593,0.993797
331,-0.0587295,0.992848
332,-0.157228,0.982044
333,-0.254158,0.961493
334,-0.348559,0.931401
335,-0.439492,0.892066
336,-0.526057,0.84388
337,-0.607393,0.787322
338,-0.682695,0.722955
339,-0.751216,0.651417
340,-0.812276,0.57342
341,-0.865271,0.489738
342,-0.909674,0.401203
343,-0.945046,0.308692
344,-0.971037,0.213126
345,-0.98739,0.115452
346,-0.993943,0.0166407
347,-0.990633,-0.0823285
348,-0.977493,-0.180473
349,-0.954655,-0.276819
350,-0.922347,-0.37041
351,-0.880889,-0.460319
352,-0.830694,-0.545653
353,-0.772261,-0.625567
354,-0.70617,-0.699267
355,-0.633079,-0.766024
356,-0.553712,-0.825176
357,-0.468858,-0.876136
358,-0.37936,-0.9184
359,-0.286106,-0.951549
360,-0.19002,-0.975256
361,-0.0920578,-0.989286
362,0.00681004,-0.993501
363,0.105602,-0.98786
364,0.203339,-0.97242
365,0.29905,-0.947336
366,0.391787,-0.912857
367,0.480631,-0.869326
368,0.5647,-0.817176
369,0.64316,-0.756924
370,0.715235,-0.689171
371,0.78021,-0.614587
372,0.837441,-0.533914
373,0.886362,-0.447952
374,0.926488,-0.357555
375,0.957422,-0.26362
376,0.978859,-0.167078
377,0.990586,-0.0688872
378,0.992488,0.0299784
379,0.984549,0.128538
380,0.966846,0.225815
381,0.939557,0.320844
382,0.902954,0.412684
383,0.857401,0.500424
384,0.803349,0.583194
385,0.741337,0.660174
386,0.671979,0.730602
387,0.595965,0.793779
388,0.514048,0.849081
389,0.427041,0.895959
390,0.335808,0.933951
391,0.241254,0.962679
392,0.144316,0.981861
393,0.0459562,0.991307
394,-0.0528508,0.990925
395,-0.151125,0.980719
396,-0.247893,0.960791
397,-0.342194,0.931341
398,-0.433095,0.892661
399,-0.519695,0.845136
400,-0.601136,0.789238
401,-0.67661,0.725521
402,-0.745371,0.654618
403,-0.806738,0.577234
404,-0.860103,0.494134
405,-0.904939,0.406145
406,-0.940801,0.314138
407,-0.967335,0.219026
408,-0.984279,0.121751
409,-0.991468,0.0232793
410,-0.988829,-0.0754146
411,-0.976391,-0.173352
412,-0.954278,-0.269563
413,-0.922709,-0.363093
414,-0.882,-0.453017
415,-0.832555,-0.538443
416,-0.774863,-0.618525
417,-0.709499,-0.692471
418,-0.63711,-0.759549
419,-0.558415,-0.819094
420,-0.474195,-0.870517
421,-0.385283,-0.91331
422,-0.292563,-0.94705
423,-0.196952,-0.971403
424,-0.0993987,-0.98613
425,-0.000869982,-0.991085
426,0.0976581,-0.98622
427,0.195209,-0.971585
428,0.290817,-0.947325
429,0.383535,-0.913684
430,0.472445,-0.870993
431,0.556666,-0.819678
432,0.635364,-0.760249
433,0.707761,-0.693293
434,0.77314,-0.619477
435,0.830854,-0.539531
436,0.880333,-0.454249
437,0.921087,-0.364475
438,0.952713,-0.2711
439,0.9749,-0.175049
440,0.987429,-0.0772728
441,0.990176,0.0212588
442,0.983117,0.11957
443,0.966321,0.216688
444,0.939956,0.31165
445,0.904285,0.403516
446,0.859662,0.491378
447,0.806529,0.574364
448,0.745415,0.651654
449,0.676925,0.722483
450,0.601739,0.786151
451,0.520601,0.842027
452,0.434316,0.88956
453,0.343739,0.928279
454,0.249767,0.957803
455,0.153331,0.97784
456,0.0553874,0.988193
457,-0.0430952,0.988761
458,-0.141141,0.979539
459,-0.23778,0.960619
460,-0.332055,0.93219
461,-0.423032,0.894535
462,-0.509813,0.848027
463,-0.591537,0.793129
464,-0.667397,0.730384
465,-0.736642,0.660415
466,-0.798587,0.583916
467,-0.852621,0.501644
468,-0.898209,0.414414
469,-0.934901,0.323091
470,-0.962335,0.228579
471,-0.98024,0.131815
472,-0.98844,0.0337554
473,-0.986856,-0.0646279
474,-0.975505,-0.162361
475,-0.954499,-0.258478
476,-0.924048,-0.352026
477,-0.884454,-0.44208
478,-0.836111,-0.527749
479,-0.779499,-0.608186
480,-0.715177,-0.682596
481,-0.643785,-0.750243
482,-0.566028,-0.810457
483,-0.482679,-0.862645
484,-0.394562,-0.906291
485,-0.302549,-0.940964
486,-0.207553,-0.966321
487,-0.110512,-0.982114
488,-0.0123889,-0.988186
489,0.0858468,-0.98448
490,0.183223,-0.971034
491,0.278775,-0.94798
492,0.371559,-0.915549
493,0.460656,-0.874064
494,0.545187,-0.823934
495,0.624314,-0.765658
496,0.697256,-0.699814
497,0.763291,-0.627052
498,0.821769,-0.548096
499,0.87211,-0.463725
500,0.913817,-0.374776
501,0.946481,-0.282129
502,0.969777,-0.186702
503,0.983478,-0.0894374
504,0.987449,0.00870077
505,0.981652,0.106742
506,0.966145,0.203717
507,0.941083,0.298666
508,0.906715,0.39065
509,0.863383,0.47876
510,0.811516,0.562125
511,0.751629,0.639921
512,0.684314,0.71138
513,0.610238,0.775794
514,0.530136,0.832529
515,0.444799,0.881024
516,0.355073,0.9208
517,0.261846,0.951466
518,0.16604,0.972718
519,0.068602,0.984349
520,-0.029503,0.986245
521,-0.127305,0.978388
522,-0.223837,0.960857
523,-0.318145,0.933826
524,-0.409297,0.897565
525,-0.496391,0.852433
526,-0.578566,0.798878
527,-0.655012,0.737429
528,-0.724973,0.668697
529,-0.787758,0.593361
530,-0.842747,0.512167
531,-0.889398,0.425919
532,-0.92725,0.335469
533,-0.955931,0.241714
534,-0.975159,0.14558
535,-0.984743,0.0480176
536,-0.984592,-0.050008
537,-0.974707,-0.147528
538,-0.955188,-0.243578
539,-0.92623,-0.337209
540,-0.888119,-0.427496
541,-0.841233,-0.513547
542,-0.786038,-0.594511
543,-0.72308,-0.66959
544,-0.652982,-0.738041
545,-0.576438,-0.79919
546,-0.494206,-0.852432
547,-0.407099,-0.897243
548,-0.315979,-0.933181
549,-0.221747,-0.959892
550,-0.125335,-0.977113
551,-0.0276951,-0.984676
552,0.0702066,-0.982506
553,0.167403,-0.970627
554,0.262933,-0.949158
555,0.355854,-0.918312
556,0.445247,-0.878395
557,0.530229,-0.829802
558,0.609962,-0.773016
559,0.683658,-0.708598
560,0.75059,-0.637187
561,0.810098,-0.559488
562,0.861594,-0.476271
563,0.904571,-0.388357
564,0.938605,-0.296618
565,0.963362,-0.201959
566,0.978598,-0.105316
567,0.984163,-0.00764451
568,0.980006,0.0900906
569,0.966167,0.186924
570,0.942784,0.281898
571,0.910091,0.374076
572,0.868412,0.462548
573,0.818159,0.546439
574,0.759831,0.624922
575,0.694004,0.697222
576,0.62133,0.762627
577,0.542527,0.82049
578,0.458376,0.870242
579,0.369707,0.911392
580,0.277398,0.943534
581,0.182361,0.966354
582,0.0855344,0.979627
583,-0.0121248,0.983222
584,-0.109652,0.977107
585,-0.206084,0.961342
586,-0.300469,0.936085
587,-0.391874,0.901587
588,-0.479398,0.85819
589,-0.562177,0.806323
590,-0.639394,0.7465
591,-0.710287,0.679314
592,-0.774157,0.605427
593,-0.830374,0.525572
594,-0.878385,0.440538
595,-0.917717,0.351164
596,-0.947982,0.258334
597,-0.968883,0.162966
598,-0.980216,0.0660004
599,-0.981868,-0.0316042
600,-0.973827,-0.128884
601,-0.956172,-0.224879
602,-0.929079,-0.318642
603,-0.892817,-0.409246
604,-0.847746,-0.495799
605,-0.794312,-0.577446
606,-0.733043,-0.653381
607,-0.664545,-0.722857
608,-0.589497,-0.785188
609,-0.508639,-0.83976
610,-0.422771,-0.886036
611,-0.332741,-0.923559
612,-0.239438,-0.951962
613,-0.143784,-0.970964
614,-0.0467234,-0.98038
615,0.0507856,-0.980118
616,0.14778,-0.970182
617,0.243304,-0.950673
618,0.336414,-0.921783
619,0.426191,-0.883799
620,0.51175,-0.837099
621,0.592247,-0.782143
622,0.666889,-0.719475
623,0.734939,-0.649716
