n,cos,sin
1060,0.188891,-0.926913
1061,0.279509,-0.903623
1062,0.367372,-0.871499
1063,0.451622,-0.830857
1064,0.531436,-0.782095
1065,0.606034,-0.725695
1066,0.674688,-0.662208
1067,0.736726,-0.592257
1068,0.791545,-0.516529
1069,0.83861,-0.435765
1070,0.877462,-0.350757
1071,0.907723,-0.262337
1072,0.929099,-0.171371
1073,0.941384,-0.0787488
1074,0.944458,0.0146231
1075,0.938296,0.107831
1076,0.922958,0.199964
1077,0.898598,0.290121
1078,0.865455,0.377421
1079,0.823856,0.46101
1080,0.77421,0.540073
1081,0.717004,0.613836
1082,0.652799,0.681581
1083,0.582226,0.742646
1084,0.505975,0.796435
1085,0.424793,0.842425
1086,0.339477,0.880167
1087,0.25086,0.909295
1088,0.15981,0.929526
1089,0.0672179,0.940664
1090,-0.0260105,0.942602
1091,-0.118964,0.935325
1092,-0.210733,0.918904
1093,-0.300421,0.893504
1094,-0.387152,0.859374
1095,-0.470079,0.816851
1096,-0.548391,0.766351
1097,-0.621325,0.708372
1098,-0.688169,0.643481
1099,-0.74827,0.572314
1100,-0.801043,0.495569
1101,-0.845975,0.413997
1102,-0.882626,0.328397
1103,-0.910643,0.239607
1104,-0.929752,0.148494
1105,-0.939769,0.0559512
1106,-0.940598,-0.0371176
1107,-0.932234,-0.129802
1108,-0.914761,-0.221198
1109,-0.888351,-0.31041
1110,-0.853266,-0.396568
1111,-0.809849,-0.478831
1112,-0.758528,-0.556396
1113,-0.699806,-0.628505
1114,-0.634259,-0.694456
1115,-0.562528,-0.753605
1116,-0.485317,-0.805377
1117,-0.403381,-0.849266
1118,-0.317523,-0.884847
1119,-0.228581,-0.911774
1120,-0.137427,-0.929785
1121,-0.0449504,-0.938707
1122,0.0479438,-0.938454
1123,0.140348,-0.929033
1124,0.23136,-0.910537
1125,0.32009,-0.883149
1126,0.405672,-0.847138
1127,0.487271,-0.80286
1128,0.564091,-0.750748
1129,0.635382,-0.691314
1130,0.700449,-0.62514
1131,0.758658,-0.552875
1132,0.809443,-0.475225
1133,0.852308,-0.392951
1134,0.886838,-0.306858
1135,0.912697,-0.217787
1136,0.929634,-0.12661
1137,0.937487,-0.0342169
1138,0.936181,0.0584884
1139,0.925731,0.150601
1140,0.906241,0.241221
1141,0.877905,0.329463
1142,0.841001,0.414467
1143,0.795891,0.495403
1144,0.74302,0.571482
1145,0.682904,0.641961
1146,0.616132,0.706154
1147,0.54336,0.763436
1148,0.465298,0.813249
1149,0.382711,0.855108
1150,0.296406,0.888607
1151,0.207227,0.913421
1152,0.116045,0.929309
1153,0.0237519,0.936119
1154,-0.0687513,0.933786
1155,-0.160561,0.922336
1156,-0.250782,0.901883
1157,-0.338532,0.872629
1158,-0.422956,0.834861
1159,-0.50323,0.788951
1160,-0.578573,0.735349
1161,-0.648248,0.674581
1162,-0.711578,0.607241
1163,-0.767945,0.533989
1164,-0.816802,0.455541
1165,-0.857674,0.372665
1166,-0.890162,0.28617
1167,-0.913953,0.196903
1168,-0.928817,0.105735
1169,-0.93461,0.0135562
1170,-0.931278,-0.0787324
1171,-0.918857,-0.17023
1172,-0.89747,-0.260045
1173,-0.867328,-0.347299
1174,-0.828727,-0.431142
1175,-0.782047,-0.510758
1176,-0.727745,-0.585368
1177,-0.666353,-0.654248
1178,-0.598472,-0.716725
1179,-0.524767,-0.772192
1180,-0.445959,-0.82011
1181,-0.362817,-0.860012
1182,-0.276154,-0.891511
1183,-0.186818,-0.914303
1184,-0.09568,-0.928167
1185,-0.00363061,-0.932969
1186,0.0884318,-0.928667
1187,0.179609,-0.915303
1188,0.269011,-0.893011
1189,0.355767,-0.86201
1190,0.43903,-0.822606
1191,0.517988,-0.775185
1192,0.591874,-0.720212
1193,0.659966,-0.658226
1194,0.721603,-0.589832
1195,0.776184,-0.5157
1196,0.823178,-0.436555
1197,0.862131,-0.353171
1198,0.892662,-0.266361
1199,0.914478,-0.176974
1200,0.927366,-0.0858824
1201,0.931205,0.00602445
1202,0.925959,0.0978499
1203,0.911681,0.188698
1204,0.888513,0.277683
1205,0.856684,0.363938
1206,0.816506,0.446621
1207,0.768374,0.524927
1208,0.712759,0.598094
1209,0.650205,0.665408
1210,0.581325,0.726216
1211,0.506792,0.779926
1212,0.427335,0.826015
1213,0.343729,0.864037
1214,0.256793,0.893622
1215,0.167373,0.914485
1216,0.076343,0.926424
1217,-0.0154087,0.929325
1218,-0.106987,0.923163
1219,-0.197499,0.907999
1220,-0.286063,0.883985
1221,-0.371815,0.851356
1222,-0.45392,0.810434
1223,-0.531578,0.761619
1224,-0.604033,0.70539
1225,-0.67058,0.642297
1226,-0.730572,0.572957
1227,-0.783425,0.498048
1228,-0.828627,0.418301
1229,-0.865738,0.334497
1230,-0.894399,0.247452
1231,-0.914333,0.158016
1232,-0.925347,0.0670625
1233,-0.927337,-0.024522
1234,-0.920287,-0.115844
1235,-0.904266,-0.206014
1236,-0.879433,-0.294153
1237,-0.846034,-0.379402
1238,-0.804396,-0.46093
1239,-0.754928,-0.537945
1240,-0.698113,-0.609697
1241,-0.634507,-0.675487
1242,-0.564733,-0.734676
1243,-0.489472,-0.786689
1244,-0.409459,-0.831021
1245,-0.325475,-0.867241
1246,-0.238341,-0.895
1247,-0.148905,-0.914028
1248,-0.0580417,-0.924144
1249,0.0333644,-0.925249
1250,0.124422,-0.917337
1251,0.214244,-0.900487
1252,0.301954,-0.874866
1253,0.3867,-0.840725
1254,0.467655,-0.7984
1255,0.544033,-0.748306
1256,0.615089,-0.690932
1257,0.680133,-0.62684
1258,0.738534,-0.556657
1259,0.789722,-0.481067
1260,0.833202,-0.400809
1261,0.868553,-0.316667
1262,0.895432,-0.229461
1263,0.913579,-0.140042
1264,0.92282,-0.0492811
1265,0.923068,0.0419362
1266,0.914323,0.132721
1267,0.896671,0.22219
1268,0.870289,0.309471
1269,0.835435,0.393714
1270,0.792451,0.474099
1271,0.741759,0.549846
1272,0.683853,0.620216
1273,0.619301,0.684526
1274,0.548733,0.742151
1275,0.472838,0.792532
1276,0.392357,0.835179
1277,0.308076,0.869681
1278,0.220815,0.895702
1279,0.131426,0.912992
1280,0.040781,0.921385
1281,-0.0502378,0.920801
1282,-0.140743,0.911249
1283,-0.229855,0.892825
1284,-0.316704,0.86571
1285,-0.400446,0.830171
1286,-0.480266,0.786556
1287,-0.555388,0.735292
1288,-0.625081,0.676882
1289,-0.688669,0.611895
1290,-0.745534,0.540966
1291,-0.795123,0.464789
1292,-0.836957,0.384105
1293,-0.87063,0.299702
1294,-0.895817,0.212404
1295,-0.912274,0.12306
1296,-0.919843,0.0325415
1297,-0.918455,-0.0582697
1298,-0.908124,-0.148489
1299,-0.888954,-0.23724
1300,-0.861134,-0.323656
1301,-0.824938,-0.406899
1302,-0.78072,-0.486158
1303,-0.728912,-0.560663
1304,-0.670023,-0.62969
1305,-0.604626,-0.692568
1306,-0.53336,-0.748687
1307,-0.456921,-0.797503
1308,-0.376055,-0.838543
1309,-0.291549,-0.871408
1310,-0.204229,-0.895783
1311,-0.114943,-0.911431
1312,-0.0245626,-0.918204
1313,0.0660326,-0.916037
1314,0.155961,-0.904954
1315,0.244347,-0.885066
1316,0.330331,-0.856569
1317,0.413077,-0.819743
1318,0.49178,-0.774948
1319,0.565676,-0.722623
1320,0.634047,-0.66328
1321,0.696229,-0.597497
1322,0.751618,-0.525918
1323,0.799677,-0.449239
1324,0.839942,-0.36821
1325,0.872022,-0.283619
1326,0.895607,-0.196291
1327,0.910471,-0.107076
1328,0.916471,-0.0168442
1329,0.913552,0.0735274
1330,0.901745,0.163159
1331,0.881166,0.251179
1332,0.85202,0.336731
1333,0.814591,0.418983
1334,0.769247,0.497136
1335,0.716431,0.570432
1336,0.656659,0.638157
1337,0.590514,0.699655
1338,0.518643,0.75433
1339,0.441745,0.801651
1340,0.360571,0.841161
1341,0.275912,0.872476
1342,0.188591,0.895296
1343,0.09946,0.9094
1344,0.00938581,0.914654
1345,-0.080755,0.911009
1346,-0.170086,0.898503
1347,-0.257737,0.877261
1348,-0.342858,0.847492
1349,-0.42462,0.809488
1350,-0.50223,0.76362
1351,-0.574933,0.710338
1352,-0.642025,0.650162
1353,-0.702854,0.583679
1354,-0.75683,0.511538
1355,-0.803431,0.434442
1356,-0.842205,0.353142
1357,-0.872778,0.26843
1358,-0.894855,0.181131
1359,-0.908223,0.0920943
1360,-0.912756,0.00218709
1361,-0.908411,-0.0877165
1362,-0.895234,-0.176742
1363,-0.873356,-0.264024
1364,-0.842991,-0.348715
1365,-0.804438,-0.429992
1366,-0.758074,-0.507064
1367,-0.704351,-0.579186
1368,-0.643795,-0.645655
1369,-0.576997,-0.705829
1370,-0.504607,-0.759123
1371,-0.427332,-0.805021
1372,-0.345923,-0.843081
1373,-0.261174,-0.872933
1374,-0.17391,-0.89429
1375,-0.0849792,-0.906948
1376,0.00475254,-0.910785
1377,0.0944129,-0.905766
1378,0.18313,-0.891945
1379,0.270043,-0.869456
1380,0.354306,-0.838523
1381,0.435101,-0.799447
1382,0.511644,-0.752611
1383,0.583192,-0.698473
1384,0.649052,-0.637561
1385,0.708585,-0.570469
1386,0.761213,-0.497852
1387,0.806428,-0.420416
1388,0.843793,-0.338916
1389,0.872947,-0.254146
1390,0.893608,-0.166929
1391,0.905578,-0.0781146
1392,0.908745,0.0114338
1393,0.903079,0.100846
1394,0.888639,0.189252
1395,0.865568,0.275794
1396,0.834091,0.359632
1397,0.794519,0.439951
1398,0.747237,0.515972
1399,0.692708,0.586958
1400,0.631463,0.652221
1401,0.5641,0.711127
1402,0.491276,0.763107
1403,0.413698,0.807657
1404,0.332124,0.844348
1405,0.247346,0.872824
1406,0.160189,0.892813
1407,0.0715001,0.904121
1408,-0.0178575,0.906643
1409,-0.107016,0.900356
1410,-0.195109,0.885323
1411,-0.281282,0.861695
1412,-0.364697,0.829702
1413,-0.444546,0.789658
1414,-0.520053,0.741955
1415,-0.590487,0.687059
1416,-0.655165,0.625505
1417,-0.71346,0.557892
1418,-0.764808,0.48488
1419,-0.808713,0.407179
1420,-0.84475,0.325546
1421,-0.872572,0.240774
1422,-0.891911,0.153689
1423,-0.902582,0.0651356
1424,-0.904483,-0.0240245
1425,-0.8976,-0.112925
1426,-0.882002,-0.200704
1427,-0.857842,-0.286508
1428,-0.825359,-0.369504
1429,-0.78487,-0.448888
1430,-0.73677,-0.52389
1431,-0.68153,-0.593783
1432,-0.619688,-0.657889
1433,-0.551847,-0.715589
1434,-0.478667,-0.766323
1435,-0.40086,-0.809601
1436,-0.319184,-0.845005
1437,-0.234432,-0.872195
1438,-0.147429,-0.890907
1439,-0.0590203,-0.900965
1440,0.0299359,-0.902272
1441,0.118575,-0.894818
1442,0.206038,-0.87868
1443,0.291474,-0.854015
1444,0.374056,-0.821066
1445,0.452982,-0.780157
1446,0.527487,-0.731685
1447,0.59685,-0.676125
1448,0.660398,-0.614018
1449,0.717517,-0.545968
1450,0.767654,-0.472639
1451,0.810325,-0.394743
1452,0.845118,-0.313039
1453,0.871697,-0.22832
1454,0.889807,-0.14141
1455,0.899276,-0.0531538
1456,0.900013,0.0355927
1457,0.892015,0.123967
1458,0.875361,0.211113
1459,0.850217,0.296184
1460,0.816829,0.378355
1461,0.775523,0.456829
1462,0.726703,0.530847
1463,0.670846,0.599691
1464,0.608494,0.662696
1465,0.540257,0.71925
1466,0.466797,0.768808
1467,0.388829,0.810891
1468,0.307111,0.845093
1469,0.222438,0.871084
1470,0.135632,0.888615
1471,0.0475353,0.897519
1472,-0.0409961,0.897711
1473,-0.129103,0.889193
1474,-0.215932,0.872051
1475,-0.300639,0.846452
1476,-0.382404,0.812649
1477,-0.460434,0.770972
1478,-0.533974,0.721828
1479,-0.602312,0.665695
1480,-0.664786,0.603121
1481,-0.720792,0.534716
1482,-0.769788,0.461143
1483,-0.811303,0.383119
1484,-0.844935,0.301402
1485,-0.87036,0.216786
1486,-0.887336,0.130093
1487,-0.895699,0.042164
1488,-0.895371,-0.0461474
1489,-0.886359,-0.133985
1490,-0.868753,-0.220496
1491,-0.842725,-0.304842
1492,-0.808532,-0.386206
1493,-0.766508,-0.4638
1494,-0.717062,-0.536872
1495,-0.660676,-0.604715
1496,-0.597901,-0.666673
1497,-0.529346,-0.722146
1498,-0.455678,-0.7706
1499,-0.377614,-0.811565
1500,-0.295912,-0.844648
1501,-0.211365,-0.869531
1502,-0.124794,-0.885974
1503,-0.0370391,-0.89382
1504,0.0510479,-0.892998
1505,0.138613,-0.883516
1506,0.224808,-0.865471
1507,0.308796,-0.839039
1508,0.389764,-0.80448
1509,0.466929,-0.762132
1510,0.539543,-0.712408
1511,0.606904,-0.655791
1512,0.66836,-0.592835
1513,0.723318,-0.524149
1514,0.771246,-0.450404
1515,0.811683,-0.372315
1516,0.844238,-0.29064
1517,0.868599,-0.206173
1518,0.884533,-0.119733
1519,0.891887,-0.0321595
1520,0.890594,0.0556991
1521,0.880668,0.142991
1522,0.862208,0.228869
1523,0.835397,0.312503
1524,0.800497,0.393082
1525,0.757849,0.469825
1526,0.707868,0.541992
1527,0.651042,0.608883
1528,0.587924,0.669852
1529,0.519128,0.72431
1530,0.445321,0.771731
1531,0.367222,0.811659
1532,0.285587,0.843708
1533,0.201211,0.86757
1534,0.114911,0.883018
1535,0.0275241,0.889904
1536,-0.0601022,0.888164
1537,-0.147119,0.877818
1538,-0.232683,0.85897
1539,-0.315965,0.831803
1540,-0.39616,0.796586
1541,-0.472492,0.75366
1542,-0.544221,0.703446
1543,-0.610655,0.646432
1544,-0.671152,0.583172
1545,-0.725127,0.514282
1546,-0.77206,0.44043
1547,-0.811498,0.362335
1548,-0.843061,0.280754
1549,-0.866448,0.196479
1550,-0.881433,0.110326
1551,-0.887874,0.023132
1552,-0.885712,-0.0642589
1553,-0.874971,-0.151
1554,-0.855757,-0.236251
1555,-0.82826,-0.319186
1556,-0.792748,-0.399004
1557,-0.749569,-0.474931
1558,-0.699143,-0.546234
1559,-0.641961,-0.612224
1560,-0.578578,-0.672263
1561,-0.509612,-0.725772
1562,-0.435732,-0.772235
1563,-0.357656,-0.811203
1564,-0.27614,-0.842303
1565,-0.191975,-0.865235
1566,-0.105978,-0.87978
1567,-0.0189817,-0.885801
1568,0.0681707,-0.883241
1569,0.154635,-0.872129
1570,0.239575,-0.852574
1571,0.322168,-0.82477
1572,0.401614,-0.788988
1573,0.477147,-0.745577
1574,0.548035,-0.69496
1575,0.613594,-0.637631
1576,0.67319,-0.574145
1577,0.72625,-0.505121
1578,0.77226,-0.431228
1579,0.810779,-0.353183
1580,0.841436,-0.271744
1581,0.863936,-0.1877
1582,0.878065,-0.101865
1583,0.883688,-0.0150721
1584,0.880754,0.0718392
1585,0.869295,0.158027
1586,0.849424,0.242658
1587,0.821336,0.324912
1588,0.785307,0.403995
1589,0.741687,0.479141
1590,0.690901,0.549625
1591,0.633444,0.614766
1592,0.569874,0.673936
1593,0.500808,0.726563
1594,0.426917,0.77214
1595,0.348918,0.810229
1596,0.267567,0.840464
1597,0.183653,0.862554
1598,0.0979875,0.876289
1599,0.0114019,0.881539
1600,-0.075266,0.878255
1601,-0.161178,0.866473
1602,-0.245501,0.846309
1603,-0.327422,0.817961
1604,-0.406148,0.781707
1605,-0.480917,0.737899
1606,-0.551009,0.686966
1607,-0.615745,0.629401
1608,-0.674503,0.565765
1609,-0.726714,0.496675
1610,-0.771877,0.422801
1611,-0.809556,0.34486
1612,-0.83939,0.263608
1613,-0.861093,0.179832
1614,-0.874457,0.0943433
1615,-0.879356,0.00796967
1616,-0.875746,-0.0784529
1617,-0.863664,-0.164088
1618,-0.843231,-0.248108
1619,-0.814646,-0.3297
1620,-0.77819,-0.408076
1621,-0.734217,-0.482478
1622,-0.683157,-0.552188
1623,-0.625504,-0.616534
1624,-0.561819,-0.674895
1625,-0.49272,-0.726708
1626,-0.418879,-0.771475
1627,-0.341009,-0.808764
1628,-0.259867,-0.838218
1629,-0.176238,-0.859555
1630,-0.0909316,-0.872571
1631,-0.00477396,-0.877143
1632,0.0814014,-0.87323
1633,0.166761,-0.860872
1634,0.25048,-0.840193
1635,0.331748,-0.811395
1636,0.409782,-0.774759
1637,0.483826,-0.730642
1638,0.553167,-0.679474
1639,0.617136,-0.621752
1640,0.675115,-0.558037
1641,0.726547,-0.488946
1642,0.770936,-0.41515
1643,0.807855,-0.337365
1644,0.836951,-0.256343
1645,0.857944,-0.172869
1646,0.870634,-0.0877511
1647,0.874902,-0.0018133
1648,0.870709,0.0841134
1649,0.858099,0.169198
1650,0.837197,0.252619
1651,0.808207,0.333569
1652,0.771414,0.411268
1653,0.727174,0.484964
1654,0.675919,0.553948
1655,0.618147,0.617553
1656,0.554419,0.675166
1657,0.485352,0.726234
1658,0.411616,0.770264
1659,0.333926,0.806833
1660,0.253034,0.835591
1661,0.169724,0.856261
1662,0.0848006,0.868649
1663,-0.000913818,0.872635
1664,-0.0865906,0.868186
1665,-0.171402,0.855347
1666,-0.254528,0.834245
1667,-0.335165,0.805086
1668,-0.412537,0.768157
1669,-0.485895,0.723815
1670,-0.554533,0.672494
1671,-0.617788,0.61469
1672,-0.675051,0.550965
1673,-0.725771,0.481938
1674,-0.769461,0.408276
1675,-0.805699,0.330694
1676,-0.83414,0.249942
1677,-0.854511,0.166802
1678,-0.866617,0.0820788
1679,-0.870346,-0.00340897
1680,-0.865663,-0.0888348
1681,-0.852617,-0.173373
1682,-0.831338,-0.256208
1683,-0.802033,-0.336539
1684,-0.764989,-0.413591
1685,-0.720567,-0.486621
1686,-0.669198,-0.554925
1687,-0.611381,-0.617844
1688,-0.547677,-0.674772
1689,-0.478703,-0.725162
1690,-0.405129,-0.76853
1691,-0.327666,-0.804458
1692,-0.247064,-0.832602
1693,-0.164102,-0.852694
1694,-0.0795843,-0.864542
1695,0.00567374,-0.868035
1696,0.0908478,-0.863141
1697,0.175115,-0.849912
1698,0.257662,-0.828478
1699,0.337692,-0.799049
1700,0.414433,-0.761912
1701,0.487145,-0.717429
1702,0.555126,-0.666031
1703,0.617723,-0.608219
1704,0.674332,-0.544553
1705,0.724409,-0.475649
1706,0.767473,-0.402175
1707,0.80311,-0.324842
1708,0.830979,-0.244399
1709,0.850814,-0.161623
1710,0.862425,-0.0773156
1711,0.865705,0.00770977
1712,0.860623,0.0926313
1713,0.847233,0.176629
1714,0.825666,0.258892
1715,0.796134,0.338627
1716,0.758926,0.415065
1717,0.714402,0.487468
1718,0.662996,0.55514
1719,0.605206,0.617428
1720,0.541593,0.673734
1721,0.472773,0.723515
1722,0.399413,0.766294
1723,0.322222,0.801659
1724,0.241947,0.829273
1725,0.159364,0.848872
1726,0.0752713,0.860269
1727,-0.00951872,0.863357
1728,-0.0941873,0.85811
1729,-0.177917,0.844581
1730,-0.2599,0.822904
1731,-0.339346,0.793291
1732,-0.415489,0.756031
1733,-0.487594,0.711487
1734,-0.554968,0.66009
1735,-0.616962,0.602341
1736,-0.672979,0.538798
1737,-0.722481,0.470076
1738,-0.764993,0.396842
1739,-0.800107,0.319804
1740,-0.827486,0.239706
1741,-0.84687,0.157322
1742,-0.858074,0.0734498
1743,-0.860993,-0.0111023
1744,-0.855603,-0.0955175
1745,-0.841957,-0.178981
1746,-0.820192,-0.260689
1747,-0.790519,-0.339852
1748,-0.753229,-0.415707
1749,-0.708684,-0.487525
1750,-0.657316,-0.554613
1751,-0.599624,-0.616326
1752,-0.536166,-0.67207
1753,-0.467558,-0.72131
1754,-0.394463,-0.763573
1755,-0.317587,-0.798455
1756,-0.237675,-0.82562
1757,-0.155498,-0.84481
1758,-0.0718496,-0.855843
1759,0.0124622,-0.858615
1760,0.0966238,-0.853103
1761,0.179823,-0.839363
1762,0.261259,-0.817531
1763,0.340145,-0.78782
1764,0.415722,-0.75052
1765,0.487262,-0.705993
1766,0.554076,-0.654672
1767,0.615522,-0.597054
1768,0.671009,-0.533698
1769,0.720004,-0.465217
1770,0.762037,-0.392273
1771,0.796705,-0.315571
1772,0.823676,-0.235853
1773,0.842694,-0.153888
1774,0.853577,-0.070469
1775,0.856224,0.0136002
1776,0.850613,0.0975081
1777,0.8368,0.180446
1778,0.814922,0.261613
1779,0.785193,0.340229
1780,0.747903,0.415536
1781,0.703415,0.486808
1782,0.652159,0.553361
1783,0.594632,0.614554
1784,0.531393,0.669798
1785,0.463052,0.718565
1786,0.390271,0.760385
1787,0.313753,0.794859
1788,0.234238,0.821656
1789,0.152493,0.840522
1790,0.0693064,0.851277
1791,-0.014518,0.85382
1792,-0.0981722,0.848131
1793,-0.18085,0.834267
1794,-0.261754,0.812365
1795,-0.340105,0.78264
1796,-0.41515,0.74538
1797,-0.486165,0.700948
1798,-0.552468,0.649775
1799,-0.613421,0.592357
1800,-0.668439,0.529249
1801,-0.716994,0.461063
1802,-0.75862,0.388457
1803,-0.792919,0.312134
1804,-0.819562,0.232829
1805,-0.838296,0.151309
1806,-0.848944,0.0683601
1807,-0.851405,-0.0152174
1808,-0.845659,-0.0986179
1809,-0.831766,-0.181038
1810,-0.809861,-0.261683
1811,-0.780159,-0.339776
1812,-0.742949,-0.414567
1813,-0.698593,-0.485335
1814,-0.647521,-0.5514
1815,-0.590227,-0.612128
1816,-0.527267,-0.666934
1817,-0.459249,-0.715294
1818,-0.38683,-0.756743
1819,-0.31071,-0.790885
1820,-0.231625,-0.817394
1821,-0.150336,-0.836018
1822,-0.0676284,-0.846579
1823,0.0157003,-0.848979
1824,0.0988472,-0.843199
1825,0.181011,-0.829296
1826,0.261401,-0.807409
1827,0.339243,-0.777751
1828,0.413788,-0.740611
1829,0.484319,-0.696349
1830,0.550159,-0.645395
1831,0.610674,-0.588243
1832,0.665284,-0.525445
1833,0.713465,-0.457608
1834,0.754755,-0.385388
1835,0.78876,-0.309482
1836,0.815154,-0.230623
1837,0.833687,-0.149572
1838,0.844182,-0.0671095
1839,0.846543,0.0159685
1840,0.840748,0.098862
1841,0.826858,0.180773
1842,0.80501,0.260912
1843,0.775416,0.338508
1844,0.738364,0.412816
1845,0.694216,0.48312
1846,0.643398,0.548746
1847,0.586402,0.609062
1848,0.523781,0.66349
1849,0.456139,0.711509
1850,0.384129,0.752658
1851,0.308447,0.786544
1852,0.229822,0.812843
1853,0.149014,0.831305
1854,0.0668016,0.841755
1855,-0.0160238,0.844097
1856,-0.098664,0.838309
1857,-0.180323,0.824453
1858,-0.260216,0.802663
1859,-0.337574,0.773153
1860,-0.411652,0.73621
1861,-0.481739,0.692192
1862,-0.547162,0.641527
1863,-0.607293,0.584705
1864,-0.661555,0.522275
1865,-0.709427,0.45484
1866,-0.750453,0.383052
1867,-0.784238,0.307603
1868,-0.810461,0.229221
1869,-0.828872,0.148663
1870,-0.839298,0.0667029
1871,-0.841641,-0.015868
1872,-0.835881,-0.0982552
1873,-0.822078,-0.179666
1874,-0.800368,-0.259316
1875,-0.770961,-0.33644
1876,-0.734146,-0.410298
1877,-0.690278,-0.480178
1878,-0.639783,-0.54541
1879,-0.583149,-0.605369
1880,-0.520925,-0.659479
1881,-0.453711,-0.707221
1882,-0.382155,-0.74814
1883,-0.306949,-0.781843
1884,-0.228818,-0.808009
1885,-0.148514,-0.82639
1886,-0.0668115,-0.836811
1887,0.0155032,-0.839176
1888,0.0976374,-0.833464
1889,0.178801,-0.819735
1890,0.258213,-0.798124
1891,0.335111,-0.768841
1892,0.408755,-0.732171
1893,0.478438,-0.688471
1894,0.543491,-0.638163
1895,0.603291,-0.581734
1896,0.657263,-0.51973
1897,0.704892,-0.452749
1898,0.74572,-0.381438
1899,0.779359,-0.306484
1900,0.805487,-0.22861
1901,0.823857,-0.148567
1902,0.834293,-0.0671254
1903,0.836701,0.0149311
1904,0.831058,0.0968126
1905,0.817423,0.177732
1906,0.795931,0.25691
1907,0.766791,0.333587
1908,0.730286,0.407026
1909,0.686771,0.476521
1910,0.636667,0.541407
1911,0.580458,0.60106
1912,0.518688,0.654909
1913,0.451953,0.702439
1914,0.380897,0.743195
1915,0.306205,0.776788
1916,0.228597,0.802897
1917,0.14882,0.821274
1918,0.0676429,0.831746
1919,-0.0141536,0.834216
1920,-0.0957825,0.828662
1921,-0.176459,0.815142
1922,-0.255407,0.793788
1923,-0.331869,0.764809
1924,-0.405111,0.728488
1925,-0.474428,0.685176
1926,-0.539157,0.635292
1927,-0.598677,0.579319
1928,-0.652418,0.517797
1929,-0.699865,0.451321
1930,-0.740565,0.380531
1931,-0.774129,0.306111
1932,-0.800237,0.228775
1933,-0.818641,0.149271
1934,-0.829169,0.0683619
1935,-0.83172,-0.0131728
1936,-0.826275,-0.0945492
1937,-0.812889,-0.174985
1938,-0.791694,-0.253708
1939,-0.762896,-0.329961
1940,-0.726776,-0.403012
1941,-0.683685,-0.472161
1942,-0.634038,-0.536745
1943,-0.578316,-0.596144
1944,-0.517057,-0.64979
1945,-0.450852,-0.69717
1946,-0.380339,-0.73783
1947,-0.306198,-0.771382
1948,-0.229144,-0.797508
1949,-0.149917,-0.815959
1950,-0.0692804,-0.82656
1951,0.0119905,-0.829214
1952,0.0931144,-0.823897
1953,0.173312,-0.810665
1954,0.251812,-0.789647
1955,0.327862,-0.76105
1956,0.400731,-0.72515
1957,0.469721,-0.682296
1958,0.53417,-0.632902
1959,0.593461,-0.577446
1960,0.647026,-0.516463
1961,0.694354,-0.450542
1962,0.73499,-0.380318
1963,0.768549,-0.306467
1964,0.79471,-0.2297
1965,0.813226,-0.150757
1966,0.823921,-0.0703964
1967,0.826696,0.0106088
1968,0.821527,0.0914801
1969,0.808468,0.171441
1970,0.787648,0.249723
1971,0.759268,0.325575
1972,0.723606,0.398269
1973,0.681007,0.467109
1974,0.631883,0.531434
1975,0.576708,0.590629
1976,0.516016,0.644127
1977,0.450391,0.691417
1978,0.380465,0.732047
1979,0.306913,0.765629
1980,0.230442,0.791844
1981,0.151788,0.810442
1982,0.0717079,0.82125
1983,-0.00902951,0.824165
1984,-0.0896481,0.819164
1985,-0.169374,0.806298
1986,-0.247441,0.785693
1987,-0.323101,0.757551
1988,-0.395627,0.722144
1989,-0.464326,0.679817
1990,-0.528538,0.630979
1991,-0.587649,0.5761
1992,-0.641094,0.515712
1993,-0.688361,0.450395
1994,-0.728999,0.38078
1995,-0.762621,0.307536
1996,-0.788907,0.231368
1997,-0.807608,0.153009
1998,-0.818546,0.0732127
1999,-0.821622,-0.00725476
2000,-0.816807,-0.0876204
2001,-0.804152,-0.167113
2002,-0.783782,-0.244968
2003,-0.755895,-0.320441
2004,-0.720762,-0.392808
2005,-0.678724,-0.461374
2006,-0.630187,-0.525483
2007,-0.57562,-0.584522
2008,-0.515549,-0.637926
2009,-0.450553,-0.685185
2010,-0.381258,-0.725847
2011,-0.308332,-0.759526
2012,-0.232475,-0.785901
2013,-0.154417,-0.804721
2014,-0.0749088,-0.815809
2015,0.00528655,-0.819063
2016,0.0853988,-0.814454
2017,0.164659,-0.80203
2018,0.242307,-0.781912
2019,0.317598,-0.754299
2020,0.38981,-0.719458
2021,0.458253,-0.677725
2022,0.522269,-0.629506
2023,0.581248,-0.575265
2024,0.634624,-0.515525
2025,0.681889,-0.450862
2026,0.722592,-0.381899
2027,0.756343,-0.309299
2028,0.782824,-0.233761
2029,0.801781,-0.15601
2030,0.813038,-0.076794
2031,0.816489,0.00312692
2032,0.812104,0.0829853
2033,0.799929,0.162015
2034,0.780083,0.239458
2035,0.752761,0.314572
2036,0.718229,0.386637
2037,0.676819,0.454964
2038,0.628933,0.518898
2039,0.575033,0.577827
2040,0.515638,0.631189
2041,0.451321,0.678474
2042,0.3827,0.719231
2043,0.310436,0.753072
2044,0.235224,0.779675
2045,0.157786,0.798788
2046,0.078866,0.810231
2047,-0.000777924,0.813897
2048,-0.0803818,0.809755
2049,-0.159182,0.797847
